pitch_type,batter,pitcher,zone,stand,p_throws,type,estimated_woba_using_speedangle
FF,663993,656464,6,L,R,X,0.138
SL,666969,656464,14,R,R,X,0.429
FF,666971,592351,7,R,R,X,0.88
FF,543760,573009,1,R,L,X,0.115
FF,672515,592351,14,R,R,X,0.536
CH,606466,674003,6,R,L,X,0.1
CH,682998,674003,5,L,L,X,0.239
FF,665750,657044,12,L,R,X,0.003
SI,673962,657044,4,R,R,X,0.519
SI,663993,657044,9,L,R,X,1.06
SI,641598,657044,6,R,R,X,0.104
FF,672695,674003,14,R,L,X,0.592
CH,677950,641540,13,L,R,X,0.163
SL,666971,641540,13,R,R,X,0.059
SL,666969,668678,9,R,R,X,0.517
KC,608369,668678,7,L,R,X,0.078
SI,502054,641540,6,R,R,X,0.13
FS,672515,543135,9,R,R,X,0.16
CU,606466,543135,8,L,R,X,1.179
FF,672695,543135,4,L,R,X,0.885
CH,543760,668678,8,R,R,X,0.223
SL,673962,668678,6,R,R,X,0.926
FF,663993,668678,3,L,R,X,0.023
CU,677950,543135,4,L,R,X,0.18
FF,666971,543135,8,R,R,X,0.068
FS,502054,543135,4,R,R,X,1.212
CH,641680,668678,13,L,R,X,0.008
FS,606466,543135,13,L,R,X,0.332
FS,682998,543135,8,L,R,X,0.908
FS,672695,543135,9,L,R,X,
FS,677950,543135,7,L,R,X,0.304
CH,663993,668678,13,L,R,X,0.063
CH,641680,668678,7,L,R,X,0.068
SL,641598,668678,6,R,R,X,0.033
KC,666969,668678,8,R,R,X,0.85
CH,543760,668678,7,R,R,X,0.211
CU,606466,543135,14,L,R,X,0.14
FS,682998,543135,8,L,R,X,0.24
FF,669016,623149,11,L,R,X,0.231
FF,592206,623149,4,R,R,X,0.072
FC,672695,621381,13,R,L,X,0.747
ST,656896,554430,8,R,R,X,0.051
FC,656976,554430,8,L,R,X,0.032
ST,666971,554430,9,R,R,X,0.6
FF,677950,554430,12,L,R,X,0.087
FF,547180,656464,5,L,R,X,0.585
SL,607208,656464,6,R,R,X,0.141
SI,682998,621237,3,L,L,X,0.041
SI,606466,621237,2,R,L,X,0.398
FC,672695,621237,13,R,L,X,0.624
SL,656896,656546,7,R,R,X,0.35
SI,592206,657044,9,R,R,X,0.056
SL,592663,657044,6,R,R,X,0.064
SI,681082,657044,9,L,R,X,0.331
FF,666971,656546,9,R,R,X,0.238
SL,502054,656546,8,R,R,X,0.097
SL,572233,656546,5,R,R,X,0.409
SL,664761,657044,5,R,R,X,0.0
CU,547180,573009,5,L,L,X,1.128
CH,607208,573009,9,R,L,X,0.057
SI,656941,573009,6,L,L,X,0.865
SL,672515,656546,4,R,R,X,0.81
SI,682998,624133,9,L,L,X,0.373
FF,672695,624133,5,R,L,X,
CH,656896,624133,6,R,L,X,0.608
ST,592663,694297,6,R,R,X,0.415
FF,681082,694297,9,L,R,X,0.45
CH,547180,694297,7,L,R,X,0.676
FC,666971,624133,4,R,L,X,0.018
ST,607208,694297,6,R,R,X,0.093
SI,669016,694297,4,L,R,X,0.461
FF,572233,624133,1,R,L,X,0.028
FF,672515,624133,8,R,L,X,0.299
CU,682998,624133,6,L,L,X,0.861
SI,681082,694297,5,L,R,X,1.027
FF,664761,694297,1,R,R,X,1.848
FF,672695,624133,2,R,L,X,0.45
FC,656896,624133,1,R,L,X,0.0
CU,666971,624133,14,R,L,X,0.971
SI,607208,694297,11,R,R,X,0.127
FC,572233,624133,13,R,L,X,0.071
SI,672515,624133,8,R,L,X,0.91
SI,682998,624133,9,L,L,X,0.134
FF,663656,600917,5,L,R,X,0.357
FF,547989,600917,6,R,R,X,0.937
FF,514888,600917,5,R,R,X,0.666
FS,608369,592773,4,L,R,X,0.743
FF,543760,592773,6,R,R,X,0.738
FF,665750,592773,8,L,R,X,0.305
FF,673962,592773,5,R,R,X,0.323
FF,673237,547973,12,R,L,X,0.77
SI,665161,547973,9,R,L,X,0.009
SI,663656,547973,12,L,L,X,0.512
CU,641680,664353,5,L,R,X,0.027
FF,608671,664353,11,L,R,X,0.925
CU,666969,664353,5,R,R,X,0.547
FF,547989,547973,7,R,L,X,0.079
FF,670541,547973,13,L,L,X,0.494
SL,608324,622250,9,R,R,X,0.536
CU,514888,622250,9,R,R,X,0.251
SL,673237,622250,12,R,R,X,0.0
FF,608369,664353,1,L,R,X,0.016
ST,543760,664353,8,R,R,X,0.244
CH,665750,664353,1,L,R,X,0.826
CU,665161,622250,6,R,R,X,0.198
SL,676801,622250,6,R,R,X,0.083
FF,663656,622250,5,L,R,X,1.109
